T,Optimal UCB,Reward UCB,Regret UCB,Regret UCB / T
0,14.110315393638814,8.71328403978369,0.0,
1,15.676146344440184,12.692300375573264,242.02747922672552,242.02747922672552
2,14.72744367685102,7.088340122269775,487.9212074623636,243.9606037311818
3,15.513348331324886,11.680215314780998,723.4686128668502,241.15620428895008
4,16.267144101002266,14.927757354723427,978.300559036749,244.57513975918724
5,13.60199699532431,12.298737231197649,1271.6638199599745,254.3327639919949
6,13.701718560986388,10.81525904335602,1524.8446720359316,254.14077867265527
7,15.20929134383249,7.997770670117007,1753.1971144781753,250.45673063973933
8,14.503416994715252,12.720227465568854,2025.368441183307,253.17105514791336
9,14.489481770671487,12.399086569803796,2278.5674937421413,253.17416597134903
10,16.448672254264903,8.126399343870311,2531.0188524932973,253.10188524932974
11,15.669741869146662,14.568692947628127,2819.322286810909,256.302026073719
12,14.76402461569413,17.178301768064497,3085.475066906046,257.1229222421705
13,13.782912410733257,12.33093111846075,3332.1152778682563,256.31655983601974
14,13.97681744739034,14.816733116492616,3563.826838265298,254.55905987609273
15,15.81426160132004,9.280635237468184,3792.009063673264,252.80060424488425
16,14.93057098076566,8.076950747907755,4049.544651588157,253.09654072425982
17,13.794980057401776,12.779454910651966,4309.583876890235,253.5049339347197
18,16.477663938578257,12.135471194363022,4524.028232018261,251.3349017787923
19,14.962692245848592,12.050252842749854,4799.855115988532,252.62395347308063
20,15.567124051277547,16.207040051491266,5042.488749796728,252.12443748983642
21,14.660991644355022,10.537534868785604,5316.308791544899,253.15756150213804
22,14.349038933671904,7.873668237861843,5584.368412248626,253.83492782948298
23,15.377024342995934,17.21852360057391,5839.10103397901,253.8739579990874
24,15.647866953700682,15.173874865623777,6118.737020676226,254.9473758615094
25,14.075259446531978,16.478661571885347,6363.963314590692,254.55853258362768
26,14.548373729741968,7.819313500169977,6592.191584170645,253.54583016040942
27,14.024016288342358,16.279107215805567,6840.246244071987,253.34245348414768
28,14.220527146900984,10.74107418893189,7048.102281742166,251.7179386336488
29,14.619138787452272,17.57899005861552,7321.151094557301,252.45348601921728
30,13.180210375372152,12.061354045529304,7567.736884125812,252.25789613752707
31,14.372402885071926,10.313225786017238,7777.144680346947,250.87563484990153
32,14.930610429461002,14.614756361310503,8022.044053754036,250.68887667981363
33,15.738113589177914,15.957850916800917,8260.974984574696,250.3325752901423
34,13.886169242914605,8.003113182763753,8509.20889554314,250.27084986891592
35,14.54573950198644,9.110425901120344,8736.55207162206,249.61577347491598
36,14.395788175083606,11.817824041081662,9001.586631987704,250.04407311076955
37,15.610335517591109,15.734912795136893,9243.810232558077,249.83270898805614
38,13.358822783105214,16.37002340930251,9507.141467805312,250.18793336329767
39,15.684463216662088,9.564171828228377,9696.79897184517,248.63587107295308
40,13.4888494265595,11.893112684749555,9966.109845235012,249.1527461308753
41,16.414304261685523,13.205119775504718,10167.012328883333,247.97591046056908
42,14.56653357312214,17.696903788629967,10458.828826377858,249.01973396137757
43,15.455443549419394,6.938312768549724,10692.42771594659,248.6611096731765
44,14.419345194757174,11.29552207943397,10950.400851997862,248.87274663631504
45,14.788634312254484,12.86988746898319,11194.614977307248,248.76922171793885
46,16.43760271028038,11.090330394578103,11443.43731419437,248.7703763955298
47,14.335746170060233,15.93857823627863,11703.339865164238,249.0072311737072
48,14.804853350088242,9.283644033939447,11984.963975562989,249.6867494908956
49,14.41979039797467,14.80083240509911,12230.004975506115,249.59193827563502
50,14.59061539011239,7.054219867299206,12473.617791935836,249.4723558387167
51,16.50269718975812,12.832237750293086,12719.59057319385,249.40373672929115
52,15.42426656852488,13.630631758233273,13020.076727461425,250.3860909127197
53,16.36378374844645,10.104540030775564,13273.987249307418,250.45258960957392
54,12.917883937811736,11.806098222170462,13581.541261931594,251.51002336910358
55,16.143265739321954,7.049332134732939,13797.613753708469,250.86570461288125
56,14.306360161229842,14.967238494067669,14041.206437583289,250.73582924255874
57,15.0422093843803,16.388848687808427,14289.393988846425,250.69112261134077
58,14.863783823946871,9.53859207983636,14570.540874276365,251.21622197028216
59,14.873859903071605,7.735922256482305,14800.196914624472,250.85079516312663
60,13.664577481613328,10.581654591079898,15041.559437522115,250.69265729203525
61,14.643913016427517,13.082945738259282,15260.208329146915,250.16734965814615
62,14.481883137579668,7.742019655818368,15503.888424500828,250.0627165242069
63,13.568318079721948,12.43614076317097,15748.32095641577,249.973348514536
64,15.703489724066992,9.477052391944367,15979.95842718545,249.68685042477264
65,13.697718018048809,6.981185062468423,16238.77231453408,249.8272663774474
66,16.306995264559543,7.072481870794838,16485.08893211821,249.7740747290638
67,15.352430209816053,7.81900958932493,16790.779305518263,250.60864635101885
68,15.31559505694915,12.831778685400389,17064.580924961654,250.9497194847302
69,15.382776586683278,7.20958487833274,17308.901025678297,250.85363805330866
70,15.667416731376742,12.493066365974563,17583.126146489136,251.18751637841623
71,16.440964040254364,17.27396251657059,17830.936182600184,251.1399462338054
72,13.100840698417802,17.34987624920623,18106.73727881085,251.48246220570627
73,13.67035153117761,12.49728072241553,18314.539405794752,250.8841014492432
74,14.853973807867195,16.217217427197465,18548.49246421693,250.6553035704991
75,15.103556563217005,7.009180962284722,18776.17271109917,250.34896948132229
76,15.81465583487722,9.18435333262651,19014.87972872862,250.19578590432397
77,14.579655234184855,12.585222656283513,19264.182221293933,250.184184692129
78,15.071650423998635,12.88714093827824,19508.918446521795,250.11433905797173
79,14.66811186262706,11.07793769011751,19754.612825914824,250.05839020145348
80,14.709309167815684,12.029887512601126,19998.703657561706,249.9837957195213
